ct2010,Hour0,Hour1,Hour2,Hour3,Hour4,Hour5,Hour6,Hour7,Hour8,Hour9,Hour10,Hour11,Hour12,Hour13,Hour14,Hour15,Hour16,Hour17,Hour18,Hour19,Hour20,Hour21,Hour22,Hour23
009800,189.0,30.0,106.0,80.0,64.0,39.0,55.0,135.0,192.0,214.0,190.0,156.0,150.0,150.0,145.0,142.0,128.0,149.0,152.0,144.0,142.0,148.0,167.0,188.0
010000,207.0,39.0,91.0,85.0,70.0,51.0,71.0,176.0,288.0,290.0,238.0,237.0,248.0,251.0,230.0,237.0,236.0,221.0,217.0,218.0,187.0,189.0,198.0,197.0
010200,213.0,45.0,106.0,84.0,80.0,55.0,88.0,205.0,344.0,346.0,300.0,293.0,305.0,314.0,301.0,307.0,322.0,287.0,262.0,249.0,228.0,203.0,210.0,210.0
010400,196.0,36.0,99.0,83.0,60.0,47.0,58.0,155.0,290.0,277.0,257.0,248.0,269.0,276.0,252.0,265.0,277.0,241.0,230.0,220.0,187.0,184.0,195.0,200.0
011300,285.0,78.0,202.0,162.0,109.0,91.0,107.0,244.0,339.0,328.0,329.0,314.0,312.0,303.0,299.0,317.0,312.0,298.0,281.0,289.0,257.0,260.0,292.0,275.0
011402,163.0,45.0,104.0,82.0,75.0,54.0,57.0,146.0,225.0,221.0,202.0,202.0,212.0,205.0,211.0,219.0,220.0,213.0,208.0,184.0,162.0,170.0,174.0,170.0
013000,58.0,7.0,30.0,31.0,34.0,28.0,51.0,86.0,124.0,125.0,114.0,156.0,146.0,175.0,161.0,162.0,157.0,165.0,147.0,140.0,103.0,100.0,83.0,93.0
014000,133.0,21.0,75.0,75.0,71.0,55.0,67.0,120.0,142.0,124.0,121.0,164.0,170.0,166.0,182.0,179.0,167.0,173.0,157.0,144.0,121.0,143.0,154.0,149.0
014801,77.0,6.0,21.0,31.0,32.0,28.0,42.0,69.0,84.0,72.0,67.0,106.0,104.0,104.0,118.0,109.0,91.0,108.0,101.0,90.0,68.0,72.0,93.0,75.0
018400,18.0,0.0,12.0,15.0,20.0,23.0,19.0,32.0,23.0,3.0,3.0,6.0,14.0,6.0,7.0,11.0,12.0,13.0,12.0,14.0,8.0,14.0,21.0,20.0
019000,12.0,0.0,9.0,13.0,11.0,7.0,7.0,14.0,6.0,1.0,2.0,2.0,6.0,2.0,2.0,3.0,3.0,7.0,6.0,5.0,7.0,13.0,14.0,19.0
020600,9.0,0.0,6.0,3.0,7.0,10.0,16.0,19.0,7.0,1.0,0.0,1.0,2.0,3.0,3.0,4.0,5.0,3.0,3.0,1.0,3.0,4.0,6.0,12.0
024900,0.0,0.0,2.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
026100,0.0,0.0,2.0,3.0,4.0,2.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0
026300,16.0,0.0,8.0,16.0,22.0,16.0,14.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,4.0,4.0,2.0,3.0,2.0,10.0,13.0,15.0
026700,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
026900,0.0,0.0,1.0,3.0,4.0,4.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
027700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
012500,200.0,43.0,125.0,98.0,75.0,56.0,66.0,163.0,273.0,233.0,219.0,220.0,221.0,240.0,217.0,222.0,231.0,210.0,202.0,196.0,178.0,181.0,186.0,203.0
011900,268.0,73.0,185.0,158.0,109.0,87.0,100.0,228.0,321.0,302.0,297.0,278.0,290.0,274.0,274.0,284.0,282.0,266.0,257.0,254.0,230.0,240.0,265.0,259.0
022500,25.0,1.0,13.0,32.0,32.0,32.0,35.0,24.0,17.0,5.0,5.0,3.0,2.0,5.0,4.0,10.0,6.0,7.0,6.0,7.0,6.0,13.0,17.0,27.0
029300,2.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
003001,98.0,23.0,69.0,63.0,47.0,38.0,15.0,13.0,17.0,16.0,35.0,37.0,39.0,37.0,36.0,31.0,33.0,45.0,39.0,55.0,82.0,88.0,93.0,94.0
005600,254.0,59.0,137.0,111.0,77.0,59.0,49.0,138.0,231.0,262.0,268.0,220.0,271.0,265.0,260.0,264.0,273.0,271.0,241.0,253.0,255.0,257.0,251.0,249.0
001600,27.0,10.0,19.0,20.0,17.0,16.0,7.0,6.0,9.0,13.0,13.0,14.0,17.0,16.0,9.0,14.0,13.0,11.0,18.0,22.0,20.0,33.0,21.0,27.0
012000,137.0,39.0,90.0,76.0,75.0,52.0,45.0,143.0,203.0,202.0,188.0,202.0,210.0,209.0,218.0,231.0,209.0,213.0,200.0,178.0,152.0,165.0,166.0,159.0
012800,140.0,37.0,88.0,79.0,79.0,55.0,63.0,127.0,188.0,180.0,151.0,195.0,196.0,209.0,202.0,214.0,194.0,201.0,197.0,176.0,146.0,167.0,165.0,174.0
012100,216.0,61.0,160.0,148.0,100.0,85.0,79.0,185.0,234.0,215.0,235.0,172.0,191.0,167.0,148.0,184.0,194.0,185.0,181.0,191.0,205.0,200.0,208.0,206.0
015001,47.0,4.0,20.0,26.0,23.0,19.0,29.0,54.0,80.0,59.0,70.0,81.0,100.0,98.0,119.0,109.0,92.0,102.0,96.0,86.0,65.0,61.0,63.0,62.0
010601,49.0,9.0,31.0,30.0,28.0,17.0,23.0,44.0,85.0,103.0,87.0,77.0,69.0,59.0,62.0,64.0,56.0,50.0,55.0,57.0,44.0,47.0,60.0,60.0
022600,9.0,0.0,5.0,5.0,6.0,6.0,3.0,6.0,5.0,1.0,0.0,0.0,1.0,3.0,2.0,2.0,1.0,1.0,2.0,2.0,3.0,4.0,10.0,16.0
005501,159.0,41.0,91.0,74.0,65.0,40.0,20.0,46.0,74.0,96.0,131.0,118.0,115.0,140.0,132.0,135.0,132.0,146.0,129.0,148.0,157.0,171.0,156.0,148.0
020800,8.0,0.0,3.0,3.0,0.0,0.0,2.0,5.0,4.0,1.0,0.0,0.0,2.0,3.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,3.0,4.0,9.0
013400,144.0,28.0,81.0,65.0,72.0,52.0,57.0,117.0,129.0,111.0,98.0,115.0,143.0,125.0,127.0,129.0,125.0,130.0,139.0,124.0,125.0,135.0,140.0,158.0
009200,210.0,41.0,93.0,82.0,63.0,44.0,68.0,184.0,324.0,337.0,273.0,252.0,257.0,262.0,233.0,248.0,254.0,230.0,224.0,224.0,212.0,200.0,196.0,220.0
011401,96.0,24.0,54.0,38.0,41.0,34.0,51.0,115.0,174.0,165.0,167.0,207.0,200.0,198.0,201.0,209.0,210.0,199.0,182.0,174.0,152.0,134.0,116.0,116.0
000100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
013100,248.0,65.0,165.0,156.0,96.0,85.0,99.0,203.0,295.0,279.0,277.0,262.0,277.0,268.0,268.0,275.0,266.0,248.0,247.0,245.0,226.0,236.0,237.0,268.0
006500,200.0,59.0,133.0,113.0,77.0,55.0,36.0,66.0,115.0,139.0,167.0,152.0,145.0,153.0,153.0,149.0,152.0,170.0,158.0,177.0,205.0,198.0,195.0,192.0
019800,18.0,0.0,8.0,9.0,11.0,12.0,17.0,30.0,23.0,4.0,2.0,4.0,8.0,10.0,7.0,11.0,10.0,12.0,13.0,14.0,8.0,13.0,15.0,20.0
020000,15.0,0.0,5.0,6.0,4.0,3.0,4.0,6.0,11.0,1.0,2.0,1.0,4.0,8.0,3.0,7.0,7.0,7.0,10.0,10.0,7.0,11.0,12.0,18.0
014900,174.0,37.0,94.0,103.0,60.0,68.0,77.0,146.0,170.0,153.0,157.0,164.0,194.0,168.0,166.0,173.0,159.0,186.0,170.0,150.0,154.0,153.0,174.0,173.0
022700,15.0,2.0,10.0,16.0,18.0,20.0,12.0,6.0,5.0,4.0,2.0,0.0,1.0,2.0,0.0,4.0,4.0,3.0,3.0,7.0,1.0,12.0,15.0,24.0
017402,24.0,1.0,17.0,23.0,31.0,42.0,24.0,34.0,26.0,4.0,6.0,5.0,12.0,7.0,7.0,17.0,14.0,12.0,16.0,11.0,6.0,18.0,19.0,22.0
021500,8.0,0.0,7.0,7.0,10.0,10.0,11.0,8.0,4.0,2.0,0.0,0.0,2.0,3.0,2.0,3.0,6.0,2.0,2.0,4.0,3.0,4.0,11.0,10.0
008800,193.0,33.0,109.0,73.0,61.0,43.0,57.0,144.0,198.0,219.0,179.0,158.0,155.0,155.0,132.0,157.0,149.0,162.0,176.0,153.0,145.0,163.0,169.0,192.0
009000,183.0,35.0,99.0,65.0,53.0,40.0,53.0,117.0,182.0,209.0,179.0,152.0,152.0,151.0,132.0,139.0,133.0,158.0,154.0,142.0,142.0,159.0,162.0,179.0
001501,36.0,12.0,32.0,29.0,22.0,17.0,12.0,18.0,33.0,29.0,35.0,36.0,25.0,38.0,31.0,29.0,27.0,25.0,27.0,30.0,29.0,37.0,37.0,35.0
008602,19.0,4.0,17.0,16.0,11.0,9.0,7.0,13.0,16.0,32.0,27.0,14.0,19.0,21.0,27.0,24.0,20.0,18.0,18.0,25.0,17.0,23.0,22.0,25.0
001402,10.0,3.0,12.0,12.0,6.0,4.0,1.0,2.0,1.0,1.0,5.0,6.0,4.0,7.0,4.0,3.0,4.0,5.0,7.0,4.0,11.0,16.0,16.0,24.0
007000,167.0,34.0,103.0,61.0,45.0,36.0,38.0,117.0,171.0,185.0,140.0,121.0,99.0,92.0,101.0,117.0,96.0,116.0,119.0,113.0,125.0,143.0,143.0,157.0
001200,7.0,2.0,7.0,6.0,3.0,3.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,6.0,3.0,2.0,4.0,3.0,5.0,2.0,6.0,8.0,7.0,11.0
022400,16.0,0.0,10.0,11.0,14.0,14.0,12.0,15.0,8.0,2.0,0.0,0.0,2.0,5.0,2.0,4.0,6.0,3.0,3.0,5.0,3.0,6.0,14.0,18.0
007200,236.0,53.0,130.0,101.0,69.0,53.0,57.0,157.0,247.0,265.0,230.0,214.0,203.0,206.0,207.0,219.0,216.0,210.0,214.0,205.0,214.0,246.0,236.0,265.0
007400,233.0,56.0,123.0,118.0,68.0,58.0,64.0,167.0,256.0,282.0,265.0,233.0,254.0,266.0,266.0,265.0,273.0,254.0,248.0,229.0,249.0,234.0,248.0,242.0
011500,197.0,48.0,149.0,137.0,95.0,79.0,71.0,177.0,242.0,210.0,236.0,187.0,196.0,173.0,153.0,188.0,187.0,191.0,185.0,186.0,188.0,194.0,185.0,195.0
010602,67.0,10.0,34.0,37.0,27.0,26.0,27.0,69.0,110.0,108.0,81.0,76.0,78.0,67.0,85.0,68.0,69.0,68.0,66.0,71.0,69.0,53.0,56.0,67.0
011000,165.0,34.0,86.0,76.0,80.0,60.0,69.0,155.0,204.0,183.0,157.0,152.0,142.0,145.0,145.0,150.0,130.0,142.0,150.0,134.0,137.0,140.0,153.0,157.0
011600,67.0,10.0,34.0,33.0,29.0,27.0,27.0,72.0,106.0,116.0,75.0,82.0,92.0,80.0,94.0,76.0,75.0,76.0,83.0,67.0,68.0,60.0,59.0,62.0
019600,16.0,1.0,5.0,5.0,12.0,4.0,10.0,23.0,17.0,3.0,1.0,6.0,5.0,3.0,7.0,8.0,6.0,9.0,9.0,9.0,6.0,5.0,9.0,13.0
008200,215.0,71.0,107.0,97.0,70.0,50.0,76.0,186.0,295.0,324.0,305.0,286.0,289.0,303.0,283.0,308.0,287.0,288.0,262.0,255.0,242.0,213.0,241.0,225.0
008603,38.0,8.0,27.0,28.0,24.0,17.0,18.0,32.0,73.0,83.0,77.0,57.0,49.0,35.0,43.0,40.0,39.0,28.0,40.0,41.0,37.0,25.0,42.0,42.0
012400,74.0,12.0,34.0,31.0,27.0,28.0,41.0,98.0,136.0,122.0,81.0,95.0,115.0,108.0,101.0,100.0,89.0,98.0,104.0,93.0,78.0,71.0,76.0,86.0
013200,70.0,12.0,31.0,31.0,27.0,24.0,29.0,68.0,89.0,81.0,55.0,62.0,80.0,77.0,82.0,80.0,79.0,86.0,87.0,73.0,70.0,65.0,73.0,72.0
025500,9.0,0.0,0.0,4.0,7.0,5.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,5.0,6.0,10.0
013800,136.0,20.0,67.0,65.0,66.0,46.0,59.0,112.0,114.0,97.0,78.0,109.0,121.0,117.0,133.0,114.0,120.0,137.0,119.0,119.0,108.0,126.0,133.0,148.0
008400,203.0,55.0,125.0,100.0,66.0,54.0,76.0,190.0,286.0,307.0,284.0,289.0,279.0,280.0,275.0,306.0,286.0,256.0,255.0,245.0,236.0,208.0,239.0,208.0
014200,59.0,5.0,24.0,28.0,28.0,21.0,37.0,59.0,97.0,92.0,89.0,122.0,128.0,127.0,143.0,135.0,118.0,121.0,116.0,97.0,76.0,84.0,78.0,80.0
030900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
013600,94.0,18.0,32.0,33.0,32.0,22.0,31.0,72.0,79.0,67.0,49.0,68.0,91.0,81.0,91.0,83.0,85.0,92.0,93.0,79.0,72.0,77.0,79.0,96.0
014700,32.0,6.0,44.0,26.0,22.0,23.0,15.0,25.0,50.0,38.0,34.0,45.0,42.0,36.0,38.0,36.0,49.0,45.0,42.0,31.0,37.0,41.0,40.0,29.0
015100,56.0,13.0,55.0,41.0,28.0,34.0,30.0,55.0,81.0,62.0,61.0,74.0,71.0,57.0,62.0,69.0,76.0,72.0,79.0,58.0,67.0,59.0,75.0,66.0
022900,22.0,1.0,11.0,29.0,31.0,31.0,34.0,21.0,15.0,5.0,5.0,3.0,2.0,5.0,4.0,10.0,6.0,7.0,5.0,7.0,3.0,12.0,16.0,25.0
023300,17.0,1.0,10.0,24.0,25.0,24.0,27.0,14.0,13.0,5.0,4.0,3.0,3.0,5.0,4.0,9.0,5.0,7.0,5.0,3.0,3.0,9.0,12.0,21.0
022000,30.0,1.0,21.0,36.0,44.0,50.0,47.0,40.0,10.0,4.0,4.0,3.0,6.0,9.0,6.0,8.0,10.0,9.0,12.0,14.0,10.0,16.0,19.0,37.0
003100,85.0,16.0,56.0,42.0,30.0,32.0,20.0,34.0,66.0,63.0,90.0,71.0,74.0,76.0,73.0,66.0,66.0,65.0,66.0,67.0,79.0,93.0,82.0,67.0
016400,31.0,3.0,25.0,36.0,47.0,35.0,30.0,34.0,15.0,6.0,4.0,10.0,9.0,7.0,5.0,12.0,15.0,12.0,13.0,17.0,8.0,14.0,19.0,25.0
015802,51.0,5.0,43.0,45.0,57.0,47.0,53.0,82.0,60.0,24.0,20.0,29.0,27.0,28.0,31.0,37.0,36.0,38.0,31.0,33.0,21.0,35.0,44.0,54.0
018000,22.0,2.0,10.0,21.0,21.0,16.0,14.0,23.0,11.0,0.0,2.0,7.0,4.0,4.0,2.0,6.0,5.0,7.0,6.0,8.0,6.0,7.0,8.0,17.0
018200,27.0,0.0,11.0,11.0,19.0,14.0,16.0,29.0,19.0,3.0,2.0,9.0,10.0,2.0,8.0,7.0,4.0,10.0,6.0,8.0,7.0,11.0,16.0,20.0
002201,9.0,0.0,10.0,9.0,5.0,4.0,1.0,3.0,3.0,3.0,7.0,8.0,6.0,6.0,7.0,6.0,9.0,4.0,13.0,8.0,14.0,14.0,13.0,11.0
002202,24.0,3.0,22.0,18.0,10.0,10.0,9.0,10.0,7.0,4.0,15.0,11.0,10.0,14.0,12.0,8.0,9.0,11.0,19.0,21.0,28.0,35.0,25.0,22.0
020901,31.0,2.0,24.0,39.0,48.0,59.0,47.0,34.0,15.0,6.0,7.0,4.0,11.0,11.0,8.0,9.0,10.0,12.0,16.0,13.0,12.0,19.0,22.0,43.0
005800,238.0,53.0,144.0,101.0,73.0,62.0,55.0,138.0,237.0,266.0,281.0,236.0,271.0,264.0,266.0,265.0,282.0,273.0,252.0,253.0,261.0,254.0,244.0,240.0
008900,178.0,53.0,151.0,143.0,95.0,75.0,46.0,66.0,100.0,126.0,141.0,154.0,149.0,147.0,146.0,153.0,171.0,155.0,153.0,183.0,185.0,190.0,181.0,173.0
009300,121.0,30.0,97.0,98.0,76.0,61.0,33.0,47.0,82.0,121.0,142.0,141.0,112.0,133.0,106.0,128.0,152.0,133.0,123.0,147.0,160.0,148.0,135.0,128.0
011100,189.0,51.0,147.0,134.0,97.0,78.0,68.0,146.0,218.0,215.0,218.0,200.0,208.0,177.0,178.0,201.0,205.0,209.0,207.0,185.0,193.0,212.0,200.0,191.0
022301,25.0,1.0,15.0,36.0,32.0,38.0,37.0,26.0,18.0,5.0,5.0,3.0,2.0,5.0,4.0,10.0,7.0,7.0,7.0,7.0,6.0,12.0,18.0,23.0
019300,50.0,4.0,50.0,62.0,47.0,56.0,64.0,50.0,18.0,11.0,12.0,12.0,18.0,19.0,24.0,27.0,21.0,22.0,38.0,28.0,24.0,38.0,52.0,63.0
007500,39.0,6.0,32.0,19.0,11.0,11.0,7.0,15.0,36.0,38.0,56.0,29.0,40.0,36.0,36.0,33.0,33.0,24.0,31.0,56.0,70.0,63.0,41.0,45.0
023400,4.0,0.0,1.0,0.0,4.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,3.0,0.0,1.0
021400,3.0,0.0,1.0,1.0,5.0,10.0,13.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0,3.0
008300,152.0,40.0,116.0,115.0,86.0,53.0,25.0,29.0,53.0,73.0,88.0,76.0,96.0,128.0,116.0,118.0,123.0,112.0,127.0,148.0,158.0,148.0,128.0,136.0
030700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
001800,112.0,28.0,76.0,73.0,54.0,39.0,17.0,19.0,20.0,29.0,32.0,43.0,40.0,45.0,34.0,41.0,48.0,45.0,55.0,61.0,83.0,106.0,98.0,107.0
004100,111.0,24.0,63.0,67.0,50.0,29.0,19.0,18.0,36.0,40.0,45.0,52.0,59.0,51.0,63.0,51.0,59.0,45.0,65.0,68.0,94.0,113.0,104.0,106.0
010800,182.0,31.0,108.0,87.0,84.0,51.0,67.0,138.0,204.0,210.0,171.0,164.0,147.0,171.0,158.0,150.0,137.0,147.0,154.0,140.0,155.0,162.0,175.0,178.0
011203,170.0,49.0,109.0,90.0,70.0,46.0,55.0,137.0,228.0,223.0,212.0,212.0,212.0,224.0,226.0,237.0,231.0,212.0,199.0,195.0,165.0,180.0,183.0,184.0
009400,177.0,45.0,94.0,81.0,65.0,51.0,63.0,187.0,318.0,339.0,286.0,263.0,277.0,286.0,270.0,275.0,292.0,273.0,231.0,220.0,203.0,186.0,203.0,192.0
009600,176.0,41.0,117.0,101.0,65.0,57.0,69.0,194.0,303.0,293.0,263.0,273.0,276.0,275.0,267.0,274.0,269.0,251.0,220.0,222.0,209.0,192.0,212.0,196.0
011201,104.0,13.0,39.0,35.0,26.0,19.0,21.0,67.0,131.0,149.0,146.0,180.0,180.0,185.0,181.0,182.0,193.0,166.0,151.0,154.0,115.0,116.0,124.0,107.0
