ct2010,Hour3,Hour4,Hour5,Hour6
009800,47.0,23.0,16.0,24.0
010000,33.0,13.0,9.0,30.0
010200,32.0,19.0,10.0,26.0
010400,31.0,17.0,15.0,23.0
011300,110.0,63.0,41.0,69.0
011402,43.0,27.0,14.0,23.0
013000,3.0,4.0,1.0,17.0
014000,21.0,17.0,10.0,15.0
014801,7.0,3.0,3.0,7.0
018400,0.0,0.0,0.0,1.0
019000,0.0,0.0,0.0,0.0
020600,0.0,0.0,0.0,0.0
024900,0.0,0.0,0.0,0.0
026100,0.0,0.0,0.0,0.0
026300,1.0,3.0,0.0,0.0
026700,0.0,0.0,0.0,0.0
026900,0.0,0.0,0.0,0.0
027700,0.0,0.0,0.0,0.0
012500,41.0,24.0,21.0,38.0
011900,85.0,52.0,38.0,63.0
022500,5.0,2.0,2.0,3.0
029300,0.0,0.0,0.0,0.0
003001,30.0,14.0,20.0,6.0
005600,51.0,37.0,14.0,17.0
001600,18.0,3.0,0.0,0.0
012000,44.0,26.0,18.0,18.0
012800,35.0,26.0,15.0,28.0
012100,81.0,47.0,31.0,39.0
015001,4.0,2.0,1.0,6.0
010601,17.0,11.0,8.0,5.0
022600,2.0,1.0,0.0,0.0
005501,39.0,32.0,15.0,7.0
020800,0.0,0.0,0.0,0.0
013400,35.0,20.0,18.0,18.0
009200,36.0,15.0,9.0,35.0
011401,13.0,10.0,4.0,21.0
000100,0.0,0.0,0.0,0.0
013100,76.0,39.0,35.0,50.0
006500,59.0,32.0,23.0,20.0
019800,0.0,0.0,0.0,0.0
020000,1.0,0.0,0.0,0.0
014900,43.0,21.0,17.0,28.0
022700,0.0,2.0,0.0,1.0
017402,0.0,1.0,2.0,0.0
021500,1.0,1.0,0.0,0.0
008800,47.0,24.0,24.0,23.0
009000,46.0,16.0,15.0,25.0
001501,8.0,2.0,1.0,1.0
008602,7.0,5.0,5.0,6.0
001402,5.0,2.0,1.0,1.0
007000,30.0,21.0,18.0,22.0
001200,3.0,2.0,0.0,2.0
022400,2.0,1.0,0.0,0.0
007200,51.0,38.0,23.0,41.0
007400,44.0,28.0,16.0,44.0
011500,80.0,43.0,24.0,36.0
010602,19.0,11.0,10.0,6.0
011000,45.0,26.0,17.0,31.0
011600,20.0,10.0,11.0,6.0
019600,0.0,0.0,0.0,0.0
008200,48.0,30.0,20.0,39.0
008603,19.0,10.0,7.0,6.0
012400,20.0,12.0,13.0,8.0
013200,18.0,6.0,8.0,7.0
025500,0.0,1.0,0.0,0.0
013800,22.0,11.0,10.0,15.0
008400,53.0,33.0,24.0,45.0
014200,4.0,3.0,1.0,11.0
030900,0.0,0.0,0.0,0.0
013600,15.0,4.0,11.0,9.0
014700,6.0,10.0,4.0,5.0
015100,8.0,10.0,5.0,14.0
022900,3.0,2.0,1.0,4.0
023300,3.0,2.0,0.0,3.0
022000,5.0,3.0,1.0,0.0
003100,21.0,14.0,5.0,9.0
016400,5.0,5.0,3.0,1.0
015802,9.0,5.0,4.0,6.0
018000,0.0,3.0,2.0,0.0
018200,0.0,2.0,1.0,0.0
002201,8.0,2.0,2.0,2.0
002202,9.0,7.0,5.0,0.0
020901,2.0,4.0,0.0,2.0
005800,62.0,31.0,19.0,31.0
008900,94.0,58.0,33.0,20.0
009300,53.0,24.0,16.0,10.0
011100,85.0,50.0,25.0,32.0
022301,7.0,4.0,2.0,3.0
019300,17.0,5.0,7.0,2.0
007500,17.0,4.0,5.0,1.0
023400,1.0,0.0,0.0,0.0
021400,0.0,0.0,0.0,0.0
008300,56.0,39.0,18.0,7.0
030700,0.0,0.0,0.0,0.0
001800,47.0,21.0,14.0,5.0
004100,32.0,16.0,7.0,5.0
010800,49.0,30.0,18.0,27.0
011203,42.0,21.0,12.0,17.0
009400,42.0,18.0,15.0,25.0
009600,43.0,26.0,19.0,39.0
011201,16.0,8.0,3.0,11.0
011202,14.0,8.0,3.0,9.0
010900,59.0,43.0,22.0,48.0
024000,0.0,0.0,0.0,0.0
029100,0.0,0.0,0.0,0.0
028300,0.0,0.0,0.0,0.0
028500,0.0,0.0,0.0,0.0
016002,4.0,2.0,1.0,5.0
018600,1.0,1.0,1.0,1.0
012200,6.0,6.0,3.0,18.0
018300,29.0,16.0,4.0,5.0
015002,2.0,2.0,1.0,9.0
016001,2.0,2.0,1.0,6.0
017200,1.0,5.0,2.0,2.0
007900,66.0,48.0,21.0,8.0
016900,21.0,16.0,9.0,7.0
015900,26.0,14.0,8.0,18.0
017401,0.0,1.0,1.0,0.0
017000,1.0,4.0,3.0,1.0
016600,8.0,5.0,2.0,3.0
024500,2.0,3.0,0.0,3.0
024700,0.0,1.0,0.0,0.0
016500,20.0,16.0,10.0,9.0
002100,19.0,11.0,4.0,11.0
010100,53.0,37.0,17.0,38.0
015601,2.0,1.0,2.0,0.0
015602,1.0,1.0,3.0,0.0
023100,1.0,2.0,0.0,1.0
023501,0.0,1.0,0.0,1.0
014601,13.0,6.0,5.0,7.0
