Hour,pickup_count,no_service_count,Total_Request,serving_rate
0,6748,12565,19313,34.9401957231
1,7297,2755,10052,72.5925189017
2,5464,606,6070,90.0164744646
3,3443,282,3725,92.4295302013
4,2310,257,2567,89.9883132061
5,1779,108,1887,94.2766295707
6,2498,230,2728,91.568914956
7,5416,3291,8707,62.202825313
8,7455,7950,15405,48.3933787731
9,8299,12737,21036,39.4514166191
10,8741,13598,22339,39.1288777474
11,9037,10905,19942,45.3164176111
12,9295,9102,18397,50.5245420449
13,9358,10031,19389,48.2644798597
14,9484,10001,19485,48.6733384655
15,8991,10392,19383,46.3860083578
16,9365,8623,17988,52.0624861018
17,9531,5242,14773,64.5163473905
18,9145,9992,19137,47.7870094581
19,8638,16374,25012,34.535422997
20,8350,18226,26576,31.4193257074
21,7859,16350,24209,32.4631335454
22,7361,15402,22763,32.3375653473
23,7103,15083,22186,32.0156855675
